,Address,Full Location,Neighborhood,Area,Borough,Price,Baths,Beds
104,"100 West 31st Street, Apt 14I","Chelsea, Midtown Manhattan, Manhattan",Chelsea,Midtown Manhattan,Manhattan,3921.0,1.0,1
105,"83 Graham Avenue, Apt 3C","East Williamsburg, Williamsburg, Northern Brooklyn, Brooklyn",East Williamsburg,Williamsburg,Brooklyn,2750.0,1.0,2
106,"178-2 Hillside Avenue, Apt 707...","Jamaica, Southeastern Queens, Queens",Jamaica,Southeastern Queens,Queens,3000.0,2.0,2
107,"25-18 35th Street, Apt 3F","Astoria, Northwestern Queens, Queens",Astoria,Northwestern Queens,Queens,2600.0,2.0,2
108,"55 Tiemann Place, Apt 63","Morningside Heights, West Harlem, Upper Manhattan, Manhattan",Morningside Heights,West Harlem,Manhattan,3112.0,1.0,2
109,"111 Wadsworth Avenue, Apt 11G","Washington Heights, Upper Manhattan, Manhattan",Washington Heights,Upper Manhattan,Manhattan,2678.0,1.0,2
110,"33 Bond Street, Apt 228","Downtown Brooklyn, Northwestern Brooklyn, Brooklyn",Downtown Brooklyn,Northwestern Brooklyn,Brooklyn,4315.0,1.0,2
111,"1050 6th Avenue, Apt 17A","Murray Hill, Midtown Manhattan, Manhattan",Murray Hill,Midtown Manhattan,Manhattan,5377.0,2.0,2
112,"529 East 85th St, Apt 3EN","Yorkville, Upper East Side, Upper Manhattan, Manhattan",Yorkville,Upper East Side,Manhattan,4275.0,2.0,2
113,"30 West 141st Street, Apt 6K","Central Harlem, Upper Manhattan, Manhattan",Central Harlem,Upper Manhattan,Manhattan,1860.0,1.0,0
114,E. 90th and 1st Ave,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",Yorkville,Upper East Side,Manhattan,2350.0,1.0,1
115,"25-29 45th Street, Apt 2R","Astoria, Northwestern Queens, Queens",Astoria,Northwestern Queens,Queens,2567.0,1.0,3
116,"78 Hawthorne Street, Apt 1C","Prospect Lefferts Gardens, Flatbush, Central Brooklyn, Brooklyn",Prospect Lefferts Gardens,Flatbush,Brooklyn,1950.0,1.0,1
117,"32-42 33rd Street, Apt D8","Astoria, Northwestern Queens, Queens",Astoria,Northwestern Queens,Queens,1975.0,1.0,1
118,"244 Madison Street, Apt 2L","Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",Bedford-Stuyvesant,Northern Brooklyn,Brooklyn,2950.0,2.0,3
119,"739 Greenwich Street, Apt #1","West Village, Downtown Manhattan, Manhattan",West Village,Downtown Manhattan,Manhattan,3300.0,1.0,1
120,"32-42 33rd Street, Apt D8","Astoria, Northwestern Queens, Queens",Astoria,Northwestern Queens,Queens,1975.0,1.0,1
121,"244 Madison Street, Apt 2L","Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",Bedford-Stuyvesant,Northern Brooklyn,Brooklyn,2950.0,2.0,3
122,"739 Greenwich Street, Apt #1","West Village, Downtown Manhattan, Manhattan",West Village,Downtown Manhattan,Manhattan,3300.0,1.0,1
123,"618 Bushwick Ave, Apt 724","Bushwick, Northern Brooklyn, Brooklyn",Bushwick,Northern Brooklyn,Brooklyn,3391.0,1.0,2
124,"600 West 161st Street, Apt 6E1...","Washington Heights, Upper Manhattan, Manhattan",Washington Heights,Upper Manhattan,Manhattan,2250.0,1.0,2
125,"31-79 35th Street, Apt 7","Astoria, Northwestern Queens, Queens",Astoria,Northwestern Queens,Queens,2595.0,1.0,2
126,"19 Dutch Street, Apt 39I","Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,6388.0,2.0,2
127,"178-02 Hillside Avenue, Apt 61...","Jamaica, Southeastern Queens, Queens",Jamaica,Southeastern Queens,Queens,1995.0,1.0,0
128,"1068 Fulton Street, Apt 5TH FL...","Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",Bedford-Stuyvesant,Northern Brooklyn,Brooklyn,2725.0,1.0,1
129,"401 East 34th Street, Apt N8A","Murray Hill, Midtown Manhattan, Manhattan",Murray Hill,Midtown Manhattan,Manhattan,5490.0,2.0,4
130,"242 East 79th Street, Apt 1B","Upper East Side, Upper Manhattan, Manhattan",Upper East Side,Upper Manhattan,Manhattan,1925.0,1.0,1
131,East 81st Street and 2nd ,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",Yorkville,Upper East Side,Manhattan,1950.0,1.0,0
132, E. 85th St and 2nd Ave,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",Yorkville,Upper East Side,Manhattan,2400.0,1.0,1
133,"1003 Greene Avenue, Apt 3F","Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",Bedford-Stuyvesant,Northern Brooklyn,Brooklyn,3189.0,2.0,3
134,North Moore Street,"Tribeca, Downtown Manhattan, Manhattan",Tribeca,Downtown Manhattan,Manhattan,7000.0,2.0,3
135,"220 West 149th Street, Apt 22","Central Harlem, Upper Manhattan, Manhattan",Central Harlem,Upper Manhattan,Manhattan,2550.0,1.0,3
